BDRC ID,Prakraś ID,of version,title,Original path
I0GN020020001,,MW0GN020020,,Published Manuscripts/RS20/
I0GN010020004,,MW0GN010020,Master Colour,Senior images/RS20/MasterColour/
I0GN010020002,,MW0GN010020,Master Infrared,Senior images/RS20/MasterInfrared/
I0GN010020003,,MW0GN010020,Conservation Reference,Senior images/RS20/ConservationReference/
I0GN010020005,,MW0GN010020,Pre-conservation,Senior images/RS20/Pre-conservation/
I0GN020022001,,MW0GN020022,,Published Manuscripts/RS22/
I0GN010022004,,MW0GN010022,Master Colour,Senior images/RS22/MasterColour/
I0GN010022002,,MW0GN010022,Master Infrared,Senior images/RS22/MasterInfrared/
I0GN010022003,,MW0GN010022,Conservation Reference,Senior images/RS22/ConservationReference/
I0GN010022005,,MW0GN010022,Pre-conservation,Senior images/RS22/Pre-conservation/
